,,,"Ontario [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language used most often at work","        Haida",,       0,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","        Inuit languages",,      25,,       0,,      20,,    8845,,    4255,,    4595,
"Language used most often at work","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,      35,,      10,,      25,
"Language used most often at work","          Inuktitut",,      25,,      10,,      20,,    8800,,    4240,,    4555,
"Language used most often at work","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","        Iroquoian languages",,      25,,      10,,      20,,      35,,      10,,      30,
"Language used most often at work","          Cayuga",,      10,,       0,,      10,,      10,,       0,,       0,
"Language used most often at work","          Mohawk",,      20,,      10,,      10,,      35,,      10,,      25,
"Language used most often at work","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Michif",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","        Salish languages",,       0,,       0,,       0,,     110,,      25,,      85,
"Language used most often at work","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Halkomelem",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","          Lillooet",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","          Okanagan",,       0,,       0,,       0,,      20,,      10,,      20,
"Language used most often at work","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,      35,,       0,,      30,
"Language used most often at work","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Straits",,       0,,       0,,       0,,      15,,       0,,      15,
"Language used most often at work","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,      10,
"Language used most often at work","          Salish languages; n.i.e.",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","        Siouan languages",,       0,,       0,,       0,,     260,,     155,,     105,
"Language used most often at work","          Dakota",,       0,,       0,,       0,,      20,,      10,,      10,
"Language used most often at work","          Stoney",,       0,,       0,,       0,,     240,,     145,,      95,
"Language used most often at work","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Tlingit",,       0,,       0,,       0,,      10,,      10,,      10,
"Language used most often at work","        Tsimshian languages",,       0,,       0,,       0,,      25,,       0,,      20,
"Language used most often at work","          Gitxsan (Gitksan)",,       0,,       0,,       0,,      10,,      10,,      10,
"Language used most often at work","          Nisga'a",,       0,,       0,,       0,,      10,,      10,,       0,
"Language used most often at work","          Tsimshian",,       0,,       0,,       0,,       0,,       0,,      10,
"Language used most often at work","        Wakashan languages",,       0,,       0,,       0,,      35,,      15,,      20,
"Language used most often at work","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","          Nuu-chah-nulth (Nootka)",,       0,,      10,,       0,,      10,,      10,,      10,
"Language used most often at work","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Aboriginal languages; n.o.s.",,      10,,       0,,       0,,      30,,      15,,      15,
"Language used most often at work","      Non-Aboriginal languages",,  113835,,   60490,,   53340,,  250485,,  132990,,  117490,
"Language used most often at work","        Afro-Asiatic languages",,    3305,,    1995,,    1310,,    7380,,    4530,,    2850,
"Language used most often at work","          Berber languages",,       0,,       0,,       0,,      35,,      10,,      30,
"Language used most often at work","            Kabyle",,       0,,       0,,       0,,      20,,       0,,      20,
"Language used most often at work","            Berber languages; n.i.e.",,       0,,       0,,       0,,      15,,      10,,      15,
"Language used most often at work","          Cushitic languages",,     125,,      45,,      80,,     275,,     105,,     170,
"Language used most often at work","            Bilen",,       0,,       0,,       0,,      10,,      10,,      10,
"Language used most often at work","            Oromo",,      15,,      10,,      10,,      45,,      25,,      20,
"Language used most often at work","            Somali",,     110,,      35,,      70,,     220,,      80,,     145,
"Language used most often at work","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Semitic languages",,    3175,,    1955,,    1225,,    7065,,    4420,,    2650,
"Language used most often at work","            Amharic",,      75,,      30,,      45,,     200,,      95,,     100,
"Language used most often at work","            Arabic",,    2430,,    1605,,     825,,    5585,,    3695,,    1890,
"Language used most often at work","            Assyrian Neo-Aramaic",,     145,,     110,,      40,,     205,,     155,,      55,
"Language used most often at work","            Chaldean Neo-Aramaic",,      35,,      20,,      15,,      30,,      20,,      15,
"Language used most often at work","            Harari",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Hebrew",,     395,,     140,,     260,,     825,,     335,,     490,
"Language used most often at work","            Maltese",,      20,,      15,,      10,,      25,,      15,,      10,
"Language used most often at work","            Tigrigna",,      60,,      30,,      25,,     135,,      70,,      60,
"Language used most often at work","            Semitic languages; n.i.e.",,      10,,      10,,       0,,      65,,      35,,      30,
"Language used most often at work","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","        Austro-Asiatic languages",,    2575,,    1065,,    1510,,    8550,,    3790,,    4760,
"Language used most often at work","          Khmer (Cambodian)",,      95,,      50,,      50,,     475,,     230,,     245,
"Language used most often at work","          Vietnamese",,    2480,,    1015,,    1465,,    8070,,    3560,,    4510,
"Language used most often at work","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Austronesian languages",,    1280,,     495,,     790,,    3850,,    1750,,    2095,
"Language used most often at work","          Bikol",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Cebuano",,      25,,      10,,      15,,      75,,      20,,      55,
"Language used most often at work","          Fijian",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Hiligaynon",,      10,,      10,,       0,,      25,,       0,,      15,
"Language used most often at work","          Ilocano",,      40,,      20,,      20,,     110,,      50,,      60,
"Language used most often at work","          Malagasy",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Malay",,      55,,      20,,      30,,     140,,      75,,      65,
"Language used most often at work","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","          Pangasinan",,       0,,       0,,       0,,       0,,       0,,       0,
